,id,image_link,group_id,entity_name,entity_value,numeric_value,unit,ocr_text
10,34869,https://m.media-amazon.com/images/I/51Y5MXRKbtL.jpg,866516,height,3.8 inch,3.8,inch,Weight: 0.331b/3-8in 3.8in 3.8in 3.8in
11,37362,https://m.media-amazon.com/images/I/61CDPQyFQhS.jpg,844474,height,12.7 inch,12.7,inch,Weight:O.66lbs 1 4.linches 9inches
12,57604,https://m.media-amazon.com/images/I/61Adsln+8ML.jpg,483370,height,9.84 inch,9.84,inch,110g 110g 75g 9.84in 8.66in 11.8in 11.8in 20in 9.84in 70g 70g 3.93in 12.99in 11.8in 5.9in 7.87in 9.84in 9.84in
13,58583,https://m.media-amazon.com/images/I/611GvGRVUXL.jpg,483370,height,9.8 inch,9.8,inch,"DIMENSIONAL MEASUREMENT 9.8in/0.2kg Due to possible 1~3cm error in size measurement, please understandl"
14,60588,https://m.media-amazon.com/images/I/61-9q51TU5L.jpg,998545,height,10.0 inch,10.0,inch,"Active Goods Co Endurance 2OLb/9Kg- 2OLB/9KG 4 THE WEIGHT IS ADJUSTABLE,AND 8 CAN SUPPORT 1-20 POUNDSQUP TO 9KG 3 DUSTPROOF INNER LINING Diameter: 10 In VELCRO STRAP ON INNERAND OUTERBAG FLEXIBLE SLIP RESISTANT RUBBERHANDLE"
15,61583,https://m.media-amazon.com/images/I/61+JAzwXC6L.jpg,916768,height,7.3 inch,7.3,inch,14.5cm 5.7in 14.5cm / 5.7in 14.5cm 5.Tin 1 g 1 1 1OOOML 1ZO0ML 2400ML
16,61920,https://m.media-amazon.com/images/I/61ETMIERwCL.jpg,893692,height,13.0 inch,13.0,inch,13 inch 0.7KG 21(cm) 8.2(inch) 16(cm) 29(cm)11.4(inch) 6.2(inch)
17,62790,https://m.media-amazon.com/images/I/619J18-4vIL.jpg,866516,height,8.5 inch,8.5,inch,Standard Mobile Size Height 6 inch i:e 15 cms Breadth 3 Inch i:e 8 cms 8.5 Inch 225 Grams weight 5 Inch
18,64116,https://m.media-amazon.com/images/I/61003HGu-bS.jpg,347404,height,3.35 inch,3.35,inch,3.85inch THICKNESS 2MM 3.35inch Weight 38.46 30 Pack MADE FROM 3.6inch PREMIUM PLASTIC 0.Sinch DURABLE STURDY RECYCLABLE
19,64763,https://m.media-amazon.com/images/I/61BZiciFS2L.jpg,648011,height,3.67 inch,3.67,inch,PAR3O Flood Light Bulb Wattage: 12W 3.67 in Voltage:120V Lumen: 850LM WET RATED Instant On 4.01 in DIMMABLE E26 Medium Base
20,65224,https://m.media-amazon.com/images/I/515yEK+4-8L.jpg,658003,height,10.0 inch,10.0,inch,Weight 2 0.55 pounds Surface diameter: 12inch Height: 0.8inch Bottom diameter: 1Oinch
21,70099,https://m.media-amazon.com/images/I/618hexM7FBL.jpg,844474,height,17.2 inch,17.2,inch,1.Name: School Backpack 2.Szie: 44(HJx3O(L)x14(W)cm 17.2*11.7*5.5 inch 3.Gender: Students Kids 4.Material: 600D Polyester 5.Weight: 0.88lb 1 6.There is a night reflective device 5 Sinches 11.7 inches
22,92131,https://m.media-amazon.com/images/I/51oA5fagKuS.jpg,752266,height,7.09 inch,7.09,inch,"07.09' Line Max 59.06"" 7.09' 19 GMENLIGHT PRODUCT SPECIFICATION Voltage: 110-240V Wattage: 361 Lumen.3500lm Product Weight: 5.281b Dimmable:59-100% CCT: 300OK/4000K/6000K .69"""
23,94556,https://m.media-amazon.com/images/I/61B+x07kDtL.jpg,483370,height,10.0 inch,10.0,inch,product Size 7 About 80g
24,96430,https://m.media-amazon.com/images/I/61G4BCMP45L.jpg,752266,height,11.0 inch,11.0,inch,"11.2"" E26 Heat- resistance Socket 5"" 60W MAX 11"" F 5"" Waterproof Anti-rust 8"" All E26 Bulb Compatible (Bulb Not Included)"
25,96663,https://m.media-amazon.com/images/I/613ZMrHfekL.jpg,648011,height,5.3 inch,5.3,inch,"Amber Amber LED Bar Suit for E26,E26 Me- dium and E27 Base 2.5 inch ; Iinch Iinch ~ow 'Cki: WW"
26,112682,https://m.media-amazon.com/images/I/61+-f5o0PXL.jpg,483370,height,11.8 inch,11.8,inch,Sli e 11.8in 3Ocm 200g 7
27,114213,https://m.media-amazon.com/images/I/611k31b8QdL.jpg,844474,height,12.2 inch,12.2,inch,Weight: 0.17kg 12.20in 31cm 4.33in 1lcm 10.63in 27cm
28,117144,https://m.media-amazon.com/images/I/51KbCXIV-wL.jpg,752266,height,3.3 foot,3.3,foot,COMPLETE INSTALLATION KIT ALL ACCESSORIES INCLUDED 3.3FT/1 METER 6PCS V SHAPE CHANNEL & 6PCS MILKY COVER END CAP MOUNTING CLIP SCREW X12PcS X 12PCS X 12PCS
29,118605,https://m.media-amazon.com/images/I/51Tx+4USfWL.jpg,752266,height,11.6 inch,11.6,inch,"5.1"" 39.4"" 20.47"" 11.6"" Voltage:120V Light:3-Light Bulb Base: E12 Watts:4OW 39.4"" MAX Chain: 11.6"" 7.87"" MIN"
30,119442,https://m.media-amazon.com/images/I/61FjLCgCLVS.jpg,648011,height,5.5 inch,5.5,inch,DIMENSIONS Diameter 2.5 IN DIMMABLE Product Type ST64 Height ~4 Wattage 5.5 IN 6W(GOW Equivalent) Voltage 110-130V Color Temperature 4000K(Daylight White) HANJION Base E26 Brightness 6OOLM
31,120854,https://m.media-amazon.com/images/I/61BXXPZFbkL.jpg,416664,height,11.81 inch,11.81,inch,60 LED Super Bright Design Switch Colors & Brightness Adjustment Mode Adjustment Charging Indicator & PIR Sensor Micro USB Charging Port 1.38in 11.81in 0.58in weight:109g/3.8402
32,130676,https://m.media-amazon.com/images/I/611Z4vQEl+L.jpg,245959,height,11.0 inch,11.0,inch,FITS UNDER THE SEAT OF MOST AIRLINE DIMENSIONS 16.Ix8x11in WEIGHT 0.77lb I1in CAPACITY 20L MATERIAL: Recycled polyester 8 1 16.1in Ocohub
33,131485,https://m.media-amazon.com/images/I/51VJ4PEnB6L.jpg,418233,height,5.11 inch,5.11,inch,""" 5 8 g 4.32 in / 11.00 cm"
34,131508,https://m.media-amazon.com/images/I/61F0VpxW3JL.jpg,365756,height,5.11 inch,5.11,inch,"lcm Khi 13cm 4in 5.11"" 24cm 9.44"" 1.5cm 0.59"""
35,131585,https://m.media-amazon.com/images/I/41JwThf1hwL.jpg,521308,height,34.0 inch,34.0,inch,88in 60in
36,131587,https://m.media-amazon.com/images/I/615YBDTuz6L.jpg,752266,height,4.7 inch,4.7,inch,Product details Ceiling canopy Black 4.7in canopy Glass Shade Clear Ribbed Glass Shade E26 holder Bulb not included ceiling lamp
37,131677,https://m.media-amazon.com/images/I/51Q0fNIrLkL.jpg,931856,height,5.0 inch,5.0,inch,"3"" 5"
38,131692,https://m.media-amazon.com/images/I/614Pjcq7wFL.jpg,752266,height,19.1 inch,19.1,inch,"13.38 14 II 47.24 29.76 - I1 II 19.1 = I1 II 31.5 8 1.1"" 7.72 "" 8 9.45 :"
39,131729,https://m.media-amazon.com/images/I/41g0yaxXZnL.jpg,311997,height,68.9 inch,68.9,inch,"1 5 27 80 cm(31.5"" cm(9.4"""
40,131734,https://m.media-amazon.com/images/I/614hk01cB8L.jpg,478357,height,27.5 inch,27.5,inch,"MS2748 Mission Coffee Table [78 Ibs] 27 1/2"" 18 47 1/2"""
41,131751,https://m.media-amazon.com/images/I/412ZHznOJqL.jpg,931856,height,2.75 inch,2.75,inch,2.75 in / 7 cm 2.75 in / 7 cm
42,131810,https://m.media-amazon.com/images/I/61-asF4ySbL.jpg,442321,height,28.3 inch,28.3,inch,"Size: 28.3"" 39.4"" 17.7"""
43,131861,https://m.media-amazon.com/images/I/612+j-owNDS.jpg,521308,height,23.6 inch,23.6,inch,"1 8 60 6"" 6"" 60 cm(23. cm(23.€"
44,131895,https://m.media-amazon.com/images/I/51v+YPlqJ6L.jpg,752266,height,2.3 inch,2.3,inch,2.Sin 8.7in ; F { 0.79in
45,131951,https://m.media-amazon.com/images/I/61ByoYNa9cL.jpg,801829,height,28.0 inch,28.0,inch,"28"" 21"" 19"" 18"" 32"" 32"""
46,131969,https://m.media-amazon.com/images/I/51wT9SVgCmL.jpg,640408,height,8.0 inch,8.0,inch,"TWST-TOP open/close LEAKPROQF disk-gasket inside COMFORTABLE GRIP easy to store 8"" IN SQUEEZE BODY: BPA free Durable & Reusable arts, craft & kitchen 8 FL QZ / 236 ML perfect size 13/4"""
47,132012,https://m.media-amazon.com/images/I/61BeNDm0vVL.jpg,276611,height,31.5 inch,31.5,inch,"31.5"" 80lbs 14.9"" 15lbs 22.1"" 31.5"" 15lbs 9.4"" 15.7"""
48,132014,https://m.media-amazon.com/images/I/612VPtF0BWL.jpg,963595,height,3.9 inch,3.9,inch,"2 5/8"" 1 5/8"" ~ 2"" 1 5/8"" 1 1 1/4"" 1 3 3 12"" 1.9"" unit: Inch 1/4"""
49,132073,https://m.media-amazon.com/images/I/31bkLp9i6jL.jpg,393665,height,10.0 inch,10.0,inch,"10 in 25.4 cm 33.5 in 33.5 in 85,1 cm 85.1 cm"
50,132080,https://m.media-amazon.com/images/I/51nkgaabPJL.jpg,826444,height,3.34 inch,3.34,inch,3.34 in / 8.5 cm 1.25 in / 3.2 cm
51,132082,https://m.media-amazon.com/images/I/51k3I3VgfwL.jpg,648011,height,4.02 inch,4.02,inch,"1.46 in 8 5 a E12 Base 10,000 Hrs 3 Watt Bluex Bulbs"""
52,132092,https://m.media-amazon.com/images/I/61GAV3B8xtL.jpg,594224,height,7.0 inch,7.0,inch,SIZE 1OPCS 5 inch 13 cm 7 inch 18 cm 5.7 inch 14.5 cml
53,132097,https://m.media-amazon.com/images/I/513fq-4xaiL.jpg,192915,height,4.91 inch,4.91,inch,4.91 in / 12.5 cm 4.91 in / 12.5 cm 7
54,132237,https://m.media-amazon.com/images/I/519Cf4JFuiL.jpg,652661,height,17.0 inch,17.0,inch,Height: 17 inch Hanging Hook 5 inch Jute will water Cold keep
55,132280,https://m.media-amazon.com/images/I/513i2QfyQ3L.jpg,478357,height,22.5 inch,22.5,inch,22.6 inch
56,132299,https://m.media-amazon.com/images/I/617hF+e9uRL.jpg,120219,height,5.0 inch,5.0,inch,"WHAT 'S INSIDE THE BOX 5 MULTIPURPOSE EXPANDABLE DIVIDERS 13"" 5"" 5"" 22"" 5 5"" DIVIDERS"
57,132321,https://m.media-amazon.com/images/I/51C9x+Zf5lL.jpg,529606,height,5.5 inch,5.5,inch,5.5inch 1.25inch
58,132485,https://m.media-amazon.com/images/I/617Z6Eg2exL.jpg,913398,height,4.3 inch,4.3,inch,"IMPROVED S1/S2 KNOBS WITH CENTER DETENTS radiotjasuer 51 TXI6S dpdoczernodz R4evpatd 28 Odar 0 Fai le Fecct PeuEei Ue 0t 41 KDL Vt  Iu: #utrl TTe liett Itun:ja QuAD 4.3"" IPS Itouch panel for DISPLAY 00 00' COLOR Frecision ' easy programming"
59,132498,https://m.media-amazon.com/images/I/51QylpoA6lL.jpg,895147,height,8.5 inch,8.5,inch,Package Contents Indoor Antenna 6.5in 8.5in S1in 11.5in 7.9in Outdoor Antenna Booster = Mounting Hardware 60 ft RG6 cable Power supply
60,132585,https://m.media-amazon.com/images/I/51vd2QlFu-L.jpg,276611,height,31.5 inch,31.5,inch,"34 cm(13.4"") 90 cm(35.4"") 1+ 7 1 8 8 27 30 cm(10.6' cm(11.8"")"
61,132588,https://m.media-amazon.com/images/I/41CCo5cLzZL.jpg,276611,height,39.4 inch,39.4,inch,"39.4"" 35.4"" 17.7"""
62,132612,https://m.media-amazon.com/images/I/51kxPxgyt-L.jpg,866516,height,13.0 inch,13.0,inch,"13inch cm 33 6.89inch cm 17,5 cm 8.58inch 21,8"
63,132626,https://m.media-amazon.com/images/I/51B7m6lB9SL.jpg,849273,height,12.5 inch,12.5,inch,E 8 3 9.8 in 25 cm
64,132645,https://m.media-amazon.com/images/I/51tJzOAD3HL.jpg,142748,height,46.0 inch,46.0,inch,46 Inches 46 inches 42 inches 13 inches 1
65,132647,https://m.media-amazon.com/images/I/51d1XazM1wL.jpg,893692,height,19.5 inch,19.5,inch,About washing P Cleaning Handwash Machine Washable Ironing Do not Bleach S M XL 18-21inch 22-24inch 25-28inch 29-32inch Dry
66,132741,https://m.media-amazon.com/images/I/61-UuInLuvL.jpg,982714,height,9.8 inch,9.8,inch,Roductskzedautg 6 1 3.3inch 6
67,132779,https://m.media-amazon.com/images/I/61+bvQriLSL.jpg,903603,height,15.0 inch,15.0,inch,844 457 0 GPt Corverter 4388 ~Out ~Dc/DC 5v/30 ~RED ! B4ech 5 12v
68,132894,https://m.media-amazon.com/images/I/41s9ym6iEHS.jpg,966823,height,4.5 inch,4.5,inch,4.5 inch inch 138 3.54 inch
69,132903,https://m.media-amazon.com/images/I/612w6F1gm9L.jpg,658003,height,9.1 inch,9.1,inch,"FITS ALL STANDARD BATHTUB 29.4' 3 6 N 8.26"" 3,34"" 6,3"" 3.54' 7.9"" 3.8"" 44.2"" 5.3"" 3.7'"
70,132916,https://m.media-amazon.com/images/I/61AIKoQI4GL.jpg,416664,height,29.5 inch,29.5,inch,"58"" _ 10"" 29.5"" 5.25"" S= 10"""
71,132964,https://m.media-amazon.com/images/I/61A-rSBysPL.jpg,810266,height,5.0 inch,5.0,inch,PORTABLE AND CONVENIENT It is so easy to break them up in 6 pieces and more simple for daily maintenance and cleaning makes sure you drink pure water to keep healthy TobuoyYour Tte 304 STAINLESS TEEL DODY 304 STAINLESS STEELLAYER Food-GRadE SILICONE RING FooD-GRADE PP COVER Food-GRADE Pp oUTLET Foqd-GradE SILICONE SEALNG PLUG
72,133035,https://m.media-amazon.com/images/I/51fLQOeh6eL.jpg,801829,height,20.5 inch,20.5,inch,"6 2 23.6"" 60 m 3 ~Oc 18.5"" 21.6"" 20.5"" 33.5"" 3"
73,133104,https://m.media-amazon.com/images/I/51Lew4SEvYL.jpg,558806,height,4.02 inch,4.02,inch,6.54in 4.02inl K Int
74,133198,https://m.media-amazon.com/images/I/61850ZqXa8L.jpg,226504,height,2.2 inch,2.2,inch,"7.52"" 8 4 2.2"" Dimension DiagramTips:Due to different measurement methods, there will be an error of 3~Smm: 6.3"" 7.87"""
75,133212,https://m.media-amazon.com/images/I/51MoFutjKjL.jpg,442321,height,31.13 inch,31.13,inch,"31.13"" 26"" 60"
76,133218,https://m.media-amazon.com/images/I/51vvD3Q750L.jpg,594224,height,2.12 inch,2.12,inch,Size of product 3.9cm/ 2.12in 5.4cm / 2.12in 5cm / 1.96in
77,133237,https://m.media-amazon.com/images/I/51yPH6fZZRL.jpg,752266,height,10.0 inch,10.0,inch,"LED 3 LED Jahre Gatanie Ceiling Spot Lights LIFESPAN: 30,000 Hour incl: 6X max S4W GU1o zo 6 x LED GU1O 220-240V AC 50/60 Hz"
78,133246,https://m.media-amazon.com/images/I/61A5sPTGFKL.jpg,483370,height,8.5 inch,8.5,inch,8.5in 6.5in
79,133312,https://m.media-amazon.com/images/I/61FpU92LFEL.jpg,966823,height,4.3 inch,4.3,inch,"PRODUCT PARAMETERS * Dimensions: ] 1.8 4,7 1,.2 IN Net Weight 10.8 OZ ; 11.8 IN 1.22 IN 0.391NCH/I.OCM"
80,133400,https://m.media-amazon.com/images/I/617DhgkVkWL.jpg,599772,height,32.3 inch,32.3,inch,"12"" 32.3' 7.9"""
81,133492,https://m.media-amazon.com/images/I/51B+haa4bsL.jpg,823083,height,7.0 inch,7.0,inch,1 3.5 inch
82,133522,https://m.media-amazon.com/images/I/61-A3XN5nQL.jpg,529606,height,5.12 inch,5.12,inch,01 2inch 0 01234 56789
83,133530,https://m.media-amazon.com/images/I/41r8rB9bwLL.jpg,916768,height,5.0 inch,5.0,inch,Z7in 6.Sin 6in Sin 4.5in 4.Sin 4.Sin 4.5in
84,133611,https://m.media-amazon.com/images/I/51JfV4FaagL.jpg,478357,height,17.0 inch,17.0,inch,15 inch 24 inch 15 inch 17 inch Total Height 20 Inches
85,133700,https://m.media-amazon.com/images/I/51rRY0veODL.jpg,115666,height,35.0 inch,35.0,inch,"8 8 58 9 132,5 cm(52.2"" cm(22.8"""
86,133715,https://m.media-amazon.com/images/I/51ZuEhmjSkL.jpg,966823,height,10.6 inch,10.6,inch,SIZE 8 1.linch 3 7.5 inch 13.8 inch
87,133718,https://m.media-amazon.com/images/I/61C4EyW6BmL.jpg,420160,height,47.4 inch,47.4,inch,"HEIGHT ADJUSTMENT to assemble, adjustable in length to make it fit your height by removing or adding rod: 47.4in (120.5cm) 31.3in (79.5cm) 34.8in (88.5cm) 15.4in (39em) 4.lin I(o.Scm) 3.9in I(Ocm) 10.8in (27.5cm) 10.6in(27cm) 10.6in(27cm) Easy"
88,133814,https://m.media-amazon.com/images/I/610sEnxv3vL.jpg,140266,height,63.78 inch,63.78,inch,6.3in 78.7in Light Head USB Cord 63.78in 5VZA 5*11.8in Adapter detachable pipes Anti-skid 4.72in Silicone ring ground spike
89,133825,https://m.media-amazon.com/images/I/31ghub786AL.jpg,436746,height,4.72 inch,4.72,inch,4.72 in / 12 cm 4.72 in / 12 cm
90,133838,https://m.media-amazon.com/images/I/41YYj0wQnKL.jpg,861555,height,6.85 inch,6.85,inch,6.85inch 2.75inch
91,133853,https://m.media-amazon.com/images/I/519TesVsApL.jpg,823083,height,9.65 inch,9.65,inch,24.5cm 9.65in 7.3cm 2.87in 9 E
92,133857,https://m.media-amazon.com/images/I/51cae+Eef5L.jpg,801829,height,33.75 inch,33.75,inch,"33 3/4"" 21 25 1/4"" 23 19"" 1/4"" 1/2"" 33"" 30"""
93,133869,https://m.media-amazon.com/images/I/51NDmvyncjL.jpg,478357,height,29.5 inch,29.5,inch,"80 cm(31.5"" 3 I"
94,133876,https://m.media-amazon.com/images/I/612LfTG8ZHL.jpg,711228,height,1.5 inch,1.5,inch,[ 5 2 inch / 5 cm
95,133894,https://m.media-amazon.com/images/I/51uvjgzEZrL.jpg,558806,height,2.5 inch,2.5,inch,1OOPCS 1.4inch (3.5cm) 2.5inch (6.5cm)
96,134011,https://m.media-amazon.com/images/I/51qIv7bzQ5L.jpg,567118,height,4.4 inch,4.4,inch,"114mm (4.4"") 35mm (1.4"") 8 Ch ' 9 8 allumo CH ED SYNC s0% ""Crf HiTORY 8 282 c 621 CLEAR ! 2 g 1 8"
97,134173,https://m.media-amazon.com/images/I/618zU-N1ICL.jpg,978900,height,0.95 inch,0.95,inch,PRODUCT DIMENSIONS 0.95in 230*C 425* 15in 1 12.8in
98,134203,https://m.media-amazon.com/images/I/619BEsNiZgL.jpg,966488,height,23.8 inch,23.8,inch,35.13 in 89.2 cm 23.8 in 60.3 cm 35.13 in 89.2 cm
99,134252,https://m.media-amazon.com/images/I/51IPgujAB9L.jpg,401212,height,28.94 inch,28.94,inch,"28.94"" 15.75"" 23.62"" TtTt CtTU"
100,134396,https://m.media-amazon.com/images/I/51JVpbUHI7L.jpg,675332,height,31.9 inch,31.9,inch,"31.9"" 27.4"" 16.1"""
101,134422,https://m.media-amazon.com/images/I/61AYaQXUYAL.jpg,387046,height,6.3 foot,6.3,foot,"3 2,75 m(9' ""2 m(6.6'"
102,134526,https://m.media-amazon.com/images/I/518xC6xcy+L.jpg,516127,height,7.79 inch,7.79,inch,Product Size weight:0.3 Ib 7.79in 5.9in 5.23in
103,134689,https://m.media-amazon.com/images/I/51VVGQ7ShgL.jpg,347404,height,1.4 inch,1.4,inch,12 in 1.4 in 11in
104,134733,https://m.media-amazon.com/images/I/5146xTX43dL.jpg,849273,height,6.0 inch,6.0,inch,"per bag (0.651b WEIGHT 6 (15cm) 20""(50cm) 20""(S0cm)"
105,134779,https://m.media-amazon.com/images/I/5175c7+R4EL.jpg,237000,height,27.0 inch,27.0,inch,"PRODUCT SIZE Length Width Height Small: 13-18"" 13-18"" 15-18"" Medium: 27-32"" 27-32"" 15-18"" { Length Width"
106,134818,https://m.media-amazon.com/images/I/51T4no6BgsL.jpg,986932,height,4.3 inch,4.3,inch,Size Detail of Large Funnel 3.4 inch 1 inch 4.3 inchl 0.6 inch 1 inch
107,134876,https://m.media-amazon.com/images/I/51dBg3F8R6L.jpg,442321,height,28.0 inch,28.0,inch,"Height Adjustment 3 50.8"" 33.4"" 4 2 4 154lbs max: min."
108,134885,https://m.media-amazon.com/images/I/51TqlR9c6EL.jpg,558806,height,3.9 inch,3.9,inch,5.9 in 15 cm 3.9 in / 10 cm %o2
109,135011,https://m.media-amazon.com/images/I/51wowHmgf7L.jpg,478357,height,22.05 inch,22.05,inch,PRODuCT RIGHT SIZE 15.78in 66 LBS 15.75in 22.05in 11.81in 22 LBS 6.3in
110,135047,https://m.media-amazon.com/images/I/615ndXYbnRL.jpg,351134,height,7.9 inch,7.9,inch,"LANSCOERY 7.9"" 20cm 1 Dimensions are inside dimensions. 'Base thickness is 1Omm: 5.9"" 3 2Ocm 7.9"""
111,135076,https://m.media-amazon.com/images/I/51vSwa9QMfL.jpg,148807,height,60.0 inch,60.0,inch,92 inch 1 8 80 inch inch 100
112,135169,https://m.media-amazon.com/images/I/51BVjGl+BeL.jpg,558806,height,7.87 inch,7.87,inch,6.70in Ip 8 RRMHD|
113,135174,https://m.media-amazon.com/images/I/41hDeXCxDLL.jpg,801829,height,34.0 inch,34.0,inch,"34"" 41"" 35"""
114,135196,https://m.media-amazon.com/images/I/614vkl0-V1L.jpg,507848,height,21.06 inch,21.06,inch,"Dimension: Blade Length:21 1/16"" Blade Width:2 1/2"" Thickness:0.138"" Center Hole: 5/8"" For Deck Size:2linches Pack:2PCS Blades"
115,135232,https://m.media-amazon.com/images/I/612mTe183EL.jpg,149708,height,52.0 inch,52.0,inch,"dimensions Measures 12""Lx 13""W x 52""H, perfect fit to any outdoor setting 12"" length  52"" height"
116,135465,https://m.media-amazon.com/images/I/51bE1-WEfNL.jpg,237000,height,19.5 inch,19.5,inch,"5Ocm (1912"") 84cm (33"") dia:"
117,135476,https://m.media-amazon.com/images/I/612phY7O3mL.jpg,237000,height,71.0 inch,71.0,inch,"SIZE SELECTION Size Couch Cover Size Couch Size seats 102"" 71"" 56"" 68"" chaise Large 102"" 33"" 2 seater 35"" 71"" 102"" 78"" 71 56"" chaise X-Large 118"" 33"" _ 3 seater 7 1 35"" 71"" Suibable for A&B"
118,135484,https://m.media-amazon.com/images/I/51xQygXky5L.jpg,826444,height,2.42 inch,2.42,inch,PRODUCT SIZE 1 34mm [1.33in 40mm/1.S7in
119,135494,https://m.media-amazon.com/images/I/61CjJiW2vlL.jpg,416664,height,63.0 inch,63.0,inch,"The Sky 10""' LED Torchiere Floor Lamp 3-way Dimmer Simple touch Adjustable Head 8 Long Lasting Powerful LED Rated to Light up to 20 Years 3 Year 10"" Manufacturer Warranty"
120,135498,https://m.media-amazon.com/images/I/51iarem5MlL.jpg,174276,height,2.3 inch,2.3,inch,2.3 in 6.0 cm 1.9 in 5.0 cm
121,135540,https://m.media-amazon.com/images/I/51ZgncfaSaL.jpg,728511,height,7.4 inch,7.4,inch,hlhhkkhkkkL44415 2024 8 8 2A IL E N ID A R 3 YEAR OF DRAGON 7.4 in / 19 cm
122,135574,https://m.media-amazon.com/images/I/612JIPTsPZL.jpg,849273,height,10.0 inch,10.0,inch,"Height= 10"" (25.4cm) Length= 13"" (33cm) Width= 5"" (12.7cm) Height Joc6] Width Length"
123,135631,https://m.media-amazon.com/images/I/515Z20aEkBS.jpg,365756,height,6.5 inch,6.5,inch,"6.50"" 4.05 2.75"""
124,135649,https://m.media-amazon.com/images/I/61-NoYnEycL.jpg,648011,height,2.5 inch,2.5,inch,"2-1/2"" 4-1/8"" 5-1/4"" LED Onerf7h TM IET ) LOCATION H ENERGY STAR Center2Edge US AIRTIGHT IC RATED OIMMAS"
125,135747,https://m.media-amazon.com/images/I/519lLiX+c9L.jpg,141308,height,4.9 inch,4.9,inch,"4,9in 9.3in 23,6in"
126,135836,https://m.media-amazon.com/images/I/61-iMbq1RiL.jpg,521308,height,36.0 inch,36.0,inch,36 Inch 89 2 Inch 1
127,135840,https://m.media-amazon.com/images/I/51XYilfV2eL.jpg,886344,height,18.03 inch,18.03,inch,"79.49"" 28.15"" 25.71 18.03"" 4.48"" 10"""
128,135853,https://m.media-amazon.com/images/I/617TXo+S5qL.jpg,952353,height,27.0 inch,27.0,inch,"27"" ViewSonic GAMING QMN / AMDA 165 Hz Ims EreeSync Premium ViewSonic"
129,135914,https://m.media-amazon.com/images/I/51eHl9CD+yL.jpg,752266,height,9.8 inch,9.8,inch,9.8 in / 25 cm 15.7 in 40 cm
130,135950,https://m.media-amazon.com/images/I/61CIKWmkNSL.jpg,311997,height,1.5 inch,1.5,inch,"221b 1.5' 7.9"" 315"""
131,136016,https://m.media-amazon.com/images/I/51GLdWZfhpL.jpg,478357,height,34.8 inch,34.8,inch,"34.8"" 24"" 48"""
