,id,image_link,group_id,entity_name,entity_value,numeric_value,unit,ocr_text
62,62790,https://m.media-amazon.com/images/I/619J18-4vIL.jpg,866516,height,8.5 inch,8.5,inch,Standard Mobile Size Height 6 inch i:e 15 cms Breadth 3 Inch i:e 8 cms 8.5 Inch 225 Grams weight 5 Inch
64,63783,https://m.media-amazon.com/images/I/617ceASZapL.jpg,916768,height,9.0 centimetre,9.0,centimetre,"7 3 y 5' 70Oml X 1 1100ml X 2 { 5'  1 31 1500ml X 1 2300ml X 2 With drain tray With drain tray 1Ocm/3. ,.85in I1cm/4.29in '4.29in 15cm/5. I1cm/L 9in Scm/12.28in 8in Icm/4.29in 20cm/7_ Icm/4. .29in"
66,64116,https://m.media-amazon.com/images/I/61003HGu-bS.jpg,347404,height,3.35 inch,3.35,inch,3.85inch THICKNESS 2MM 3.35inch Weight 38.46 30 Pack MADE FROM 3.6inch PREMIUM PLASTIC 0.Sinch DURABLE STURDY RECYCLABLE
68,65224,https://m.media-amazon.com/images/I/515yEK+4-8L.jpg,658003,height,10.0 inch,10.0,inch,Weight 2 0.55 pounds Surface diameter: 12inch Height: 0.8inch Bottom diameter: 1Oinch
70,68751,https://m.media-amazon.com/images/I/51Hp3A4LVFL.jpg,681445,height,19.0 centimetre,19.0,centimetre,2.3cm/O.91in 1 Weight: 341g 14cm/5.Slin
72,70099,https://m.media-amazon.com/images/I/618hexM7FBL.jpg,844474,height,17.2 inch,17.2,inch,1.Name: School Backpack 2.Szie: 44(HJx3O(L)x14(W)cm 17.2*11.7*5.5 inch 3.Gender: Students Kids 4.Material: 600D Polyester 5.Weight: 0.88lb 1 6.There is a night reflective device 5 Sinches 11.7 inches
74,73388,https://m.media-amazon.com/images/I/51gH1GFOPLL.jpg,483370,height,9.7 centimetre,9.7,centimetre,0 9 6.4cm 4.9cm 6 5 3.7cm 2.5cm weight:259.5g
76,76664,https://m.media-amazon.com/images/I/516FI3eapZL.jpg,752266,height,15.5 centimetre,15.5,centimetre,Moderate Size Suitable for most scenes Mounting 6 screw hole Mains cable hole LASIDE ] 7 6.5cm/2.56inch 590g1 '5cm/2. 'Sinch 9inch 1Ocm/3.
78,80749,https://m.media-amazon.com/images/I/61CYEixnOzL.jpg,844474,height,42.0 centimetre,42.0,centimetre,"WEIGHT:1.285KG/2.83LB WEIGHT:1KGI2.2LB 0 L Size:L Size:S 2OCM/7.9"" 2OCM/7.9' 33CM/13"" 32CM/12.6"""
80,82577,https://m.media-amazon.com/images/I/51aqh-nA1gL.jpg,752266,height,9.0 centimetre,9.0,centimetre,"1OOcm Colour Temperature: Warm White, 3500K Material: Iron, Aluminium, Acrylic Voltage: 210-240V, S0Hz Size: 1OOcm * 9cm Scm Lighting Power: 40W, 3200lm Waterproof Rating: IP54 Sensing Distance: 3-5M Working Mode: Only works at night (< 2Olux)"
82,87792,https://m.media-amazon.com/images/I/518aEHCKqxL.jpg,483370,height,24.0 centimetre,24.0,centimetre,24cm 105g
84,88248,https://m.media-amazon.com/images/I/51FG6KaNmNL.jpg,483370,height,20.0 centimetre,20.0,centimetre,Size 3  2 Weight: 100g
86,89215,https://m.media-amazon.com/images/I/61EBnBBMoNL.jpg,478357,height,61.5 centimetre,61.5,centimetre,'15.  1 3 7 ISk6 20cm/7.8inch 4Ocm/- Zinch 0 1
88,90089,https://m.media-amazon.com/images/I/614hlYpAsYL.jpg,916768,height,7.4 centimetre,7.4,centimetre,2x 2x 0.4 Liter 0.7 Liter 6.Icm 7.2cm 10.9cm 10.9cm 13.Icm 13.1cm lx Lx 1.2 Liter 2.0 Liter 8.2cm 9.Icm 15.7cm 15.7cm 17.9cm 17.9cm 2x 2x 0.24 Liter 0.5 Liter 8.7cm 5.Scm 8.7cm 12.6cm 10.8cm 15.Scm lx lx 1.0 Liter 1.5 Liter 6.7cm 7.4cm 13.0cm 18.9cm 15.2cm 22.Scm
90,92131,https://m.media-amazon.com/images/I/51oA5fagKuS.jpg,752266,height,7.09 inch,7.09,inch,"07.09' Line Max 59.06"" 7.09' 19 GMENLIGHT PRODUCT SPECIFICATION Voltage: 110-240V Wattage: 361 Lumen.3500lm Product Weight: 5.281b Dimmable:59-100% CCT: 300OK/4000K/6000K .69"""
92,92927,https://m.media-amazon.com/images/I/61FeaIwziVL.jpg,752266,height,309.0 millimetre,309.0,millimetre,"LLLC H:AH UK L Company UB1O9JS '[496 Gv:L ""3792740H Item No Pendant SEZ , Lamp OS-002 0 mO07  1 6-F Black Size:1000*309mm WWW _ 'longlifelamps.CO.uk"
94,94556,https://m.media-amazon.com/images/I/61B+x07kDtL.jpg,483370,height,10.0 inch,10.0,inch,product Size 7 About 80g
96,95393,https://m.media-amazon.com/images/I/51Uu-U8QpAL.jpg,752266,height,24.0 centimetre,24.0,centimetre,LED 8OW 0 5 Length: 8Ocm 1 8
98,95776,https://m.media-amazon.com/images/I/61ET-jXtLeL.jpg,433914,height,450.0 millimetre,450.0,millimetre,"VEVOR: TOUGH TOOLS, HALF PRICE 17.7"" 450mm Lock Type: Cam Latch Lock Material: Galvanized Steel Sheet Compatible I with Maintenance Opening Size 16""[ 411mm Product Weight: 1 1.9 Kg/4.llbs Item Model Number: M-2320713 16""/ 411mm"
100,96663,https://m.media-amazon.com/images/I/613ZMrHfekL.jpg,648011,height,5.3 inch,5.3,inch,"Amber Amber LED Bar Suit for E26,E26 Me- dium and E27 Base 2.5 inch ; Iinch Iinch ~ow 'Cki: WW"
102,98438,https://m.media-amazon.com/images/I/51SMckvKjGL.jpg,237000,height,82.0 centimetre,82.0,centimetre,"Farfallarossa DIVANO Posti 284 CM 112 CM 82 Ch 207 CM 4C"" 120 Ch BEIGE & MARRONE SCURO 2506/M?"
104,98952,https://m.media-amazon.com/images/I/6157SQdIc7L.jpg,997176,height,20.5 centimetre,20.5,centimetre,75cm/2.95in Product Make coffee Parameters Information Milk Name: electric kettle 1 Material: 304 stainless steel Capacity: 4OOml Honey water 3 Rate watts: 30Ow Rated voltage: 11Ov Weight:   1.Ipounds Water
106,101795,https://m.media-amazon.com/images/I/51oyJqy29VL.jpg,599772,height,17.0 centimetre,17.0,centimetre,17cm '0.2cm 11cm 86
108,104791,https://m.media-amazon.com/images/I/61-Jn202EKL.jpg,237000,height,71.0 centimetre,71.0,centimetre,"No more buy cheap and buy twice !Il High density 600D material, much heavier than many other 600D furniture covers SanGlory 600D Other 600D 2.5kg 1.6kg The actual weight can be viewed at the product information in the middle of the link 7 3 2inch 120cm/47_ 210cm/82. 6inch"
110,109058,https://m.media-amazon.com/images/I/61CLSEri9fL.jpg,752266,height,11.5 centimetre,11.5,centimetre,"Taille Du Produit 2cm/0.79in H 10.5cm_ 4.13in 1 } Les Specifications 4cm/1,57in Materiaux: Metal 8 Tension: 110-230V 3 Puissance: 6OW max 3 Base de Fampoule: E26/E27 (Ampoule non incluse)"
112,112682,https://m.media-amazon.com/images/I/61+-f5o0PXL.jpg,483370,height,11.8 inch,11.8,inch,Sli e 11.8in 3Ocm 200g 7
114,113240,https://m.media-amazon.com/images/I/51S9VmoRfdL.jpg,145452,height,325.0 millimetre,325.0,millimetre,GUARANTEED 12 Month manufacturing warranty Height 325mm Weight 460g bctl Diameter onegreenbottle com 82mm ecobotl.com
116,114484,https://m.media-amazon.com/images/I/51Y2pTVgYNL.jpg,407921,height,398.0 millimetre,398.0,millimetre,UE 398mm 305mm 530mm 17kg
118,117468,https://m.media-amazon.com/images/I/31Bv3YkK6SL.jpg,308430,height,19.0 centimetre,19.0,centimetre,8 Owete 400 ML 320g
120,119270,https://m.media-amazon.com/images/I/613HC+82zEL.jpg,752266,height,50.0 centimetre,50.0,centimetre,"Product Specification 65cm 35cm 4Ocm SOcm 2Ocm CCT: Brightness Adjustable: Feature: 2800K-6000k 5%-100% Night Light Mode Material: CRI: Finish: Aluminium, Acrylic 90+ Power Coating Color: Wattage: Voltage: Gold 42W 220V-240v"
122,120854,https://m.media-amazon.com/images/I/61BXXPZFbkL.jpg,416664,height,11.81 inch,11.81,inch,60 LED Super Bright Design Switch Colors & Brightness Adjustment Mode Adjustment Charging Indicator & PIR Sensor Micro USB Charging Port 1.38in 11.81in 0.58in weight:109g/3.8402
124,120963,https://m.media-amazon.com/images/I/617NPC9mtzL.jpg,210293,height,11.0 centimetre,11.0,centimetre,3.15in / 8cm Holds up to No Tools No Drilling Removable 1OkG 6 Material: TPE+ABS 1 3in / 7.6cm 3.66in / 9.3cm 5.79in / 14.7cm J X2 1 2.52in / 6.4cm 1 1 8 3 12.O1in / 30.5cm
126,128246,https://m.media-amazon.com/images/I/6167+iFYBoL.jpg,483370,height,20.0 centimetre,20.0,centimetre,Weight: Height: 2Ocm/8in Best Gift for KAWS Fanll 280g
128,129105,https://m.media-amazon.com/images/I/51tV0Ta+48S.jpg,752266,height,25.0 centimetre,25.0,centimetre,3xG9 25cm 33cmV/13in 
130,130676,https://m.media-amazon.com/images/I/611Z4vQEl+L.jpg,245959,height,11.0 inch,11.0,inch,FITS UNDER THE SEAT OF MOST AIRLINE DIMENSIONS 16.Ix8x11in WEIGHT 0.77lb I1in CAPACITY 20L MATERIAL: Recycled polyester 8 1 16.1in Ocohub
132,131349,https://m.media-amazon.com/images/I/611IcpfjZyS.jpg,687894,height,10.0 centimetre,10.0,centimetre,25.5 CM 10 CM
134,131380,https://m.media-amazon.com/images/I/51hm+X7uCCL.jpg,178778,height,15.0 centimetre,15.0,centimetre,5 14cm 22cm
136,131421,https://m.media-amazon.com/images/I/51Kmosx88HL.jpg,237000,height,45.0 centimetre,45.0,centimetre,Back Width: 32-45cm Back Height: 45-58cm Back Thickness: 4-8cm Seat Length: 38-4Scm Seat Width: 38-47cm Seat Thickness: 4-12cm
138,131432,https://m.media-amazon.com/images/I/51BnPzzlB9L.jpg,113134,height,15.0 centimetre,15.0,centimetre,3 5cm
140,131475,https://m.media-amazon.com/images/I/51dWvHTe3JL.jpg,652661,height,11.0 centimetre,11.0,centimetre,5cm/1.96in I 8 g
142,131508,https://m.media-amazon.com/images/I/61F0VpxW3JL.jpg,365756,height,5.11 inch,5.11,inch,"lcm Khi 13cm 4in 5.11"" 24cm 9.44"" 1.5cm 0.59"""
144,131585,https://m.media-amazon.com/images/I/41JwThf1hwL.jpg,521308,height,34.0 inch,34.0,inch,88in 60in
146,131592,https://m.media-amazon.com/images/I/61ACX88pdQL.jpg,564236,height,85.0 centimetre,85.0,centimetre,Eeels' Ln KErotOEo cecobec I8b} Orl Dral Ateela DOshor rrventer PLus 8 60 cm Acena Uadn Lh 9t8 63 cm
148,131669,https://m.media-amazon.com/images/I/61F58vEd05S.jpg,276611,height,75.0 centimetre,75.0,centimetre,120cm 30 cm E
150,131692,https://m.media-amazon.com/images/I/614Pjcq7wFL.jpg,752266,height,19.1 inch,19.1,inch,"13.38 14 II 47.24 29.76 - I1 II 19.1 = I1 II 31.5 8 1.1"" 7.72 "" 8 9.45 :"
152,131729,https://m.media-amazon.com/images/I/41g0yaxXZnL.jpg,311997,height,68.9 inch,68.9,inch,"1 5 27 80 cm(31.5"" cm(9.4"""
154,131751,https://m.media-amazon.com/images/I/412ZHznOJqL.jpg,931856,height,2.75 inch,2.75,inch,2.75 in / 7 cm 2.75 in / 7 cm
156,131810,https://m.media-amazon.com/images/I/61-asF4ySbL.jpg,442321,height,28.3 inch,28.3,inch,"Size: 28.3"" 39.4"" 17.7"""
158,131861,https://m.media-amazon.com/images/I/612+j-owNDS.jpg,521308,height,23.6 inch,23.6,inch,"1 8 60 6"" 6"" 60 cm(23. cm(23.€"
160,131886,https://m.media-amazon.com/images/I/51MwalUgioL.jpg,558832,height,16.0 centimetre,16.0,centimetre,Size T 2CM 16CM I2CM
162,131900,https://m.media-amazon.com/images/I/51pLheHv54L.jpg,772700,height,75.0 centimetre,75.0,centimetre,"cm 16 cm 33 75 cm E 5 44 cm 34 cm 31,5"
164,131934,https://m.media-amazon.com/images/I/610PRDsIIML.jpg,589105,height,5.0 centimetre,5.0,centimetre,EASY TO FOLD AND STORE 1 5cm 2in [ 10.6in 27cm 30cm 11.8in
166,131969,https://m.media-amazon.com/images/I/51wT9SVgCmL.jpg,640408,height,8.0 inch,8.0,inch,"TWST-TOP open/close LEAKPROQF disk-gasket inside COMFORTABLE GRIP easy to store 8"" IN SQUEEZE BODY: BPA free Durable & Reusable arts, craft & kitchen 8 FL QZ / 236 ML perfect size 13/4"""
168,131981,https://m.media-amazon.com/images/I/51NGuFJhWGL.jpg,648011,height,118.0 millimetre,118.0,millimetre,"4 1 Doubule Ended j type Base I1MM RZs I18MM 220-240v ""220w"
170,131993,https://m.media-amazon.com/images/I/61C50q-pr0L.jpg,916768,height,4.5 centimetre,4.5,centimetre,4450 { 21.3cm schmatz junior Fatz 1
172,132014,https://m.media-amazon.com/images/I/612VPtF0BWL.jpg,963595,height,3.9 inch,3.9,inch,"2 5/8"" 1 5/8"" ~ 2"" 1 5/8"" 1 1 1/4"" 1 3 3 12"" 1.9"" unit: Inch 1/4"""
174,132073,https://m.media-amazon.com/images/I/31bkLp9i6jL.jpg,393665,height,10.0 inch,10.0,inch,"10 in 25.4 cm 33.5 in 33.5 in 85,1 cm 85.1 cm"
176,132082,https://m.media-amazon.com/images/I/51k3I3VgfwL.jpg,648011,height,4.02 inch,4.02,inch,"1.46 in 8 5 a E12 Base 10,000 Hrs 3 Watt Bluex Bulbs"""
178,132097,https://m.media-amazon.com/images/I/513fq-4xaiL.jpg,192915,height,4.91 inch,4.91,inch,4.91 in / 12.5 cm 4.91 in / 12.5 cm 7
180,132136,https://m.media-amazon.com/images/I/512E3WP1BQL.jpg,594224,height,6.0 centimetre,6.0,centimetre,7cm 3 15cm 6cm
182,132189,https://m.media-amazon.com/images/I/611UO9xjngL.jpg,970563,height,35.0 centimetre,35.0,centimetre,3.2cm/1.3in 10cm/3.9in 12cm/4.7in 15cm/5.9in 8cm/3.lin 17cm/6.7in 20cm/7.9in 25cm/9.8in 0 30cm/11.8in 35cm/13.8in 0 40cm/15.7in 45cm/17.7in 50cm/19.7in 55cm/21.7in 60cm/23.6in 65cm/25.6in 70cm/27.6in M 72cm/28.3in 1.9cm/O.Zin
184,132237,https://m.media-amazon.com/images/I/519Cf4JFuiL.jpg,652661,height,17.0 inch,17.0,inch,Height: 17 inch Hanging Hook 5 inch Jute will water Cold keep
186,132268,https://m.media-amazon.com/images/I/61FgBfij2WL.jpg,866516,height,8.0 centimetre,8.0,centimetre,8 5 4cml1.57in
188,132284,https://m.media-amazon.com/images/I/61Evx1TVmxL.jpg,408581,height,20.5 centimetre,20.5,centimetre,"Product Size [ SEA 3 BREEZE ER DEL"" 16cm/6. .54in .30in 9cm/3."
190,132292,https://m.media-amazon.com/images/I/612KYwEWNYL.jpg,245959,height,26.7 centimetre,26.7,centimetre,45L 3 I 7 22 'EFRE' 9 2cm .Sinch/57_ 1inch/27 . 9cm
192,132308,https://m.media-amazon.com/images/I/6167tTvgJJL.jpg,351134,height,20.0 centimetre,20.0,centimetre,HuJiNTAQ 3 3 30.5cm
194,132391,https://m.media-amazon.com/images/I/517Ja8NlGlL.jpg,752266,height,58.5 millimetre,58.5,millimetre,DIMENSION 280mm/11.O2inch 58.5mm/2.30inch HOPHA
196,132485,https://m.media-amazon.com/images/I/617Z6Eg2exL.jpg,913398,height,4.3 inch,4.3,inch,"IMPROVED S1/S2 KNOBS WITH CENTER DETENTS radiotjasuer 51 TXI6S dpdoczernodz R4evpatd 28 Odar 0 Fai le Fecct PeuEei Ue 0t 41 KDL Vt  Iu: #utrl TTe liett Itun:ja QuAD 4.3"" IPS Itouch panel for DISPLAY 00 00' COLOR Frecision ' easy programming"
198,132528,https://m.media-amazon.com/images/I/41BLP1+GesS.jpg,276611,height,70.0 centimetre,70.0,centimetre,6 8 ~0 88 cm cm
200,132556,https://m.media-amazon.com/images/I/51QgaCHzyPL.jpg,526954,height,20.0 millimetre,20.0,millimetre,(( SLV 20mm 50' 20 Vixen Field
202,132588,https://m.media-amazon.com/images/I/41CCo5cLzZL.jpg,276611,height,39.4 inch,39.4,inch,"39.4"" 35.4"" 17.7"""
204,132601,https://m.media-amazon.com/images/I/51CkCWKSeOL.jpg,810266,height,13.5 centimetre,13.5,centimetre,"9cm/3.54"" 1 9cm/3.54"" 0 F 8 7cm/2.76"""
206,132612,https://m.media-amazon.com/images/I/51kxPxgyt-L.jpg,866516,height,13.0 inch,13.0,inch,"13inch cm 33 6.89inch cm 17,5 cm 8.58inch 21,8"
208,132626,https://m.media-amazon.com/images/I/51B7m6lB9SL.jpg,849273,height,12.5 inch,12.5,inch,E 8 3 9.8 in 25 cm
210,132647,https://m.media-amazon.com/images/I/51d1XazM1wL.jpg,893692,height,19.5 inch,19.5,inch,About washing P Cleaning Handwash Machine Washable Ironing Do not Bleach S M XL 18-21inch 22-24inch 25-28inch 29-32inch Dry
212,132700,https://m.media-amazon.com/images/I/51wQQ0ej4SL.jpg,417434,height,14.5 centimetre,14.5,centimetre,35.4cm/13.9in 58cm/22.8in 1
214,132738,https://m.media-amazon.com/images/I/61AHUv1KP5L.jpg,437623,height,118.0 millimetre,118.0,millimetre,"CD 118mm 118mm BUMP IN Ver, FLow IN VER; ALLIN ALLIN STANDING PHOTO CARD 0EE6321328 7Omm 10Smm 25mm FLow DUMD VER; Eeeeen ALLIN 90o"
216,132750,https://m.media-amazon.com/images/I/51g8wqBWYDL.jpg,113134,height,12.0 centimetre,12.0,centimetre,Reduce wrinkles and puffiness 7 5' Fish-shaped Gua Sha Tool Various designs Suit different body parts
218,132785,https://m.media-amazon.com/images/I/51HQbMKV6PL.jpg,416664,height,62.0 millimetre,62.0,millimetre,62mm 2.4in 5Omm 2in Size: Approx.50 x 58 x 62mm / 2 x 2.3 x 2.4in
220,132858,https://m.media-amazon.com/images/I/61Do63E0n3L.jpg,810266,height,8.0 centimetre,8.0,centimetre,8cm 3.1in 3 GOOD 3 MORNING 11cm 4.3in
222,132894,https://m.media-amazon.com/images/I/41s9ym6iEHS.jpg,966823,height,4.5 inch,4.5,inch,4.5 inch inch 138 3.54 inch
224,132912,https://m.media-amazon.com/images/I/31ZF0E7NeVL.jpg,311997,height,10.0 centimetre,10.0,centimetre,40 cm 5_cm 5 3 234
226,132959,https://m.media-amazon.com/images/I/515OuVrpYVL.jpg,860821,height,13.0 centimetre,13.0,centimetre,24cm/9.44in 1 { 3
228,132970,https://m.media-amazon.com/images/I/41vfQxabfbL.jpg,752266,height,17.0 centimetre,17.0,centimetre,10cm Adjustable 17cm l7cm
230,133049,https://m.media-amazon.com/images/I/51QRMm3rmnL.jpg,611510,height,83.0 centimetre,83.0,centimetre,Altura: 83cm Assento: 75cm Profundidade: 4Ocm Largura: 4Ocm
232,133058,https://m.media-amazon.com/images/I/61BkpP3OhKL.jpg,307581,height,35.0 millimetre,35.0,millimetre,35mm Slide 'AQ ONECNCEPT 110 Slide 126 Slide HHHH VERSATIL Para escanear peliculas de 135 126 KPK / 110 / super 8 / diapositivas
